id,nombre,lugar_asoc,direccion,lat,lon
72,Colegio N° 09 Justo José de Urquiza,,Condarco 290,-58.4681,-34.6278
73,Liceo N° 09 Santiago Derqui,,Conesa 1855,-58.4602,-34.5676
74,Esc. de Educacion Media N° 05/10° Héroes de Malvinas,,Crámer 2136,-58.4618,-34.5645
75,Esc. Técnica N° 28 Republica Francesa,,Cuba 2410,-58.4574,-34.5581
76,Esc. Normal Superior N° 11 Dr. Ricardo Levene,,Deán Funes 1821,-58.4049,-34.632
77,Colegio N° 13 Cnel. Tomás Espora,,Gallardo 149,-58.5237,-34.6375
78,Inst. de Educ. Superior Mariano Acosta,,Gral. Urquiza 277,-58.4101,-34.6137
79,Esc. Normal Superior N° 06 Vicente Lopez y Planes,,Güemes 3859,-58.416,-34.5869
80,Ciclo Básico de Formación Ocupacional N° 02 Salvador Maza,,José Pedro Varela 5966,-58.5292,-34.6211
81,Esc. Nº 25 DE 6,,Jujuy 780,-58.4034,-34.6185
82,Esc. de Comercio N° 26 Enrique de Vedia,,Juncal 3251,-58.4104,-34.5852
83,Esc. Normal Superior en Lenguas Vivas Sofia Esther Broquen de Spangenberg,,Juncal 3251,-58.4104,-34.5852
84,Ciclo Básico de Formación Ocupacional N° 03 Olga Cossettini,,Juramento 2945,-58.4619,-34.5649
85,Esc. Normal Superior N° 08 Presidente Julio Argentino Roca (sede),,La Rioja 1042,-58.4071,-34.6225
86,Esc. Técnica N° 17 Brig. Gral. Cornelio Saavedra,,Lacarra 535,-58.4818,-34.6401
87,Colegio N° 02 Domingo Faustino Sarmiento,,Libertad 1257,-58.3843,-34.5935
88,Esc. de Educación Media N° 01/02°,,Mario Bravo 234,-58.4176,-34.608
89,Esc. de Educacion Media N° 02/19° Arturo Jauretche,,Martínez Castro 3067,-58.4488,-34.6624
90,Esc. de Educacion Media N° 05/19°,,Martinez Castro 3077,-58.4487,-34.6625
91,Liceo N° 08 Esteban Echeverria,,Murguiondo 1568,-58.505,-34.6532
92,Colegio N° 19 Luis Pasteur,,Navarro 4344,-58.5128,-34.6055
93,Esc. de Comercio N° 20 Dr. Juan Agustín García,,Nicasio Oroño 2131,-58.4607,-34.602
94,Esc. Normal Superior N° 10 Juan Bautista Alberdi (sede),,O'Higgins 2441,-58.4556,-34.5565
95,Esc. de Comercio N° 10 Islas Malvinas,,Paraguay 1950,-58.3952,-34.5989
96,Esc. Técnica N° 37 Hogar Naval Stella Maris,,Pergamino 211,-58.4735,-34.6351
97,Esc. Técnica N° 08 Paula Albarracin de Sarmiento,,Pío Collivadino 436,-58.4836,-34.6399
98,Esc. Técnica N° 06 Fernando Fader,,Pje. La Porteña 54,-58.4679,-34.6295
99,Colegio N° 10 José de San Martín,,Quito 4047,-58.4235,-34.6167
100,Esc. Técnica N° 24 Defensa de Buenos Aires,,Ricardo Gutiérrez 3246,-58.4959,-34.6019
101,Esc. de Comercio N° 02 Dr. Antonio Bermejo,,Riobamba 623,-58.3939,-34.6018
102,Esc. de Comercio N° 30 Dr. Esteban Agustín Gascon,,San Blas 5387,-58.5091,-34.6306
103,Esc. de Bellas Artes Lola Mora,,Soldado de la Frontera 5155,-58.4645,-34.6852
104,Esc. de Educacion Media N° 05/15°,,Tronador 4134,-58.4869,-34.5528
105,Esc. de Comercio N° 15 Dra. Cecilia Grierson,,Valdenegro 3523,-58.4901,-34.5618
106,Esc. Técnica N° 10 Fray Luis Beltran,,Vieytes 942,-58.3792,-34.6434
107,Esc. de Bellas Artes Manuel Belgrano,,Wenceslao Villafañe 1342,-58.3715,-34.6349
108,Universidad del Salvador - Facultad de Ciencias Sociales,,Hipólito Yrigoyen 2441,-58.4009,-34.6108
109,Alianza Francesa,,Av. Córdoba 936,-58.3803,-34.5991
110,CGPC 1,,Uruguay 740,-58.3869,-34.6001
111,CGPC 4,,Del Barco Centenera 2906,-58.4248,-34.6503
112,CGPC 6,,Av. Patricias Argentinas 277,-58.4328,-34.6056
113,Sub Sede CGPC 6,,Emilio Mitre 956,-58.4411,-34.6321
114,CGPC 14,,Beruti 3325,-58.4093,-34.5872
115,Oums,,Aguirre 686,-58.4373,-34.5962
116,Almacén Purista,,Velazco 701,-58.4382,-34.5965
117,Bicicletas Aráoz,,Aráoz 1458,-58.4257,-34.5923
118,Oums,,Armenia 1595,-58.4282,-34.5902
119,Nucha,,Armenia 1540,-58.4289,-34.5903
120,Gaby Di Grazia Deco,,Armenia 1914,-58.4252,-34.5879
121,Orense,,Av. Córdoba 5801,-58.4424,-34.5859
122,Niceto Club,,Av. Niceto Vega 5510,-58.4387,-34.5873
123,Only Bikes,,Av. Scalabrini Ortiz 1602,-58.425,-34.5907
124,Cusic,,El Salvador 6016,-58.4397,-34.58
125,Moremore,,El Salvador 5721,-58.4365,-34.5822
126,Muchachobar,,El Salvador 5100,-58.4311,-34.5869
127,Urban Station,,El Salvador 4588,-58.426,-34.5904
128,Soho Bikes,,Godoy Cruz 1518,-58.436,-34.5886
129,Mattone,,Gorriti 5950,-58.441,-34.5823
130,OLSEN,,Gorriti 5870,-58.4401,-34.5829
131,La Molina,,Gorriti 5806,-58.4395,-34.5834
132,Dashi,,Gorriti 5591,-58.4369,-34.5849
133,Don Jacinto Parrillita,,Gorriti 5299,-58.4338,-34.5875
134,Soria,,Gorriti 5151,-58.4326,-34.5884
135,Monochrome,,Gorriti 5656,-58.4379,-34.5846
136,Fifí Almacén,,Gorriti 4812,-58.4295,-34.5907
137,Muvin,,Gurruchaga 5051,-58.4317,-34.589
138,Bicicletería BiciUP,,Gurruchaga 1519,-58.43,-34.5899
139,Movistar,,Honduras 5473,-58.4347,-34.5852
140,Aeropuertos Argentina 2000,,Honduras 5663,-58.4368,-34.5835
141,Social Paraíso,,Honduras 5182,-58.432,-34.5877
142,Bistrot,,Honduras 5090,-58.4312,-34.5883
143,Sheldon,,Nicaragua 4969,-58.4284,-34.5854
144,Pani,,Nicaragua 6048,-58.4383,-34.5782
145,Oui Oui,,Nicaragua 6099,-58.4386,-34.5775
146,Tazz,,Plaza Julio Cortázar,-58.4302,-34.5888
147,Endemol,,Ravignani 1493,-58.4413,-34.5836
148,Endemol,,Cabrera 3507,-58.4157,-34.5966
149,Techint,,Av. Córdoba 302,-58.3715,-34.5986
150,Plaza Lavalle,,Av. Córdoba 1200,-58.3839,-34.5993
151,Restaurant,,Av. Córdoba 1616,-58.3899,-34.5996
152,Restaurant,,Av. Córdoba 1662,-58.3908,-34.5997
153,Ayres,,Av. Córdoba 4307,-58.427,-34.596
154,Portsaid,,Av. Córdoba 4453,-58.4285,-34.595
155,Banco de la Nación Argentina,,Av. Córdoba 4416,-58.4284,-34.5955
156,Local,,Av. Córdoba 4500,-58.4292,-34.595
157,Yagmour,,Av. Córdoba 4600,-58.4301,-34.5945
158,Edificio Diagonal Plaza,,Av. Roque Sáenz Peña 1145,-58.3827,-34.6029
159,Poder Judicial de la Nación,,Av. Roque Sáenz Peña 1184,-58.3834,-34.603
160,Randtad,,Av. Roque Sáenz Peña 950,-58.3804,-34.6046
161,Banco Galicia,,Av. Roque Sáenz Peña 865,-58.3788,-34.605
162,Tribunales de Trabajo,,Av. Roque Sáenz Peña 760,-58.3773,-34.6062
163,Ministerio del Interior,,Av. Roque Sáenz Peña 660,-58.3759,-34.6069
164,Winery,,Av. Roque Sáenz Peña 555,-58.3743,-34.6074
165,Señor Sandwich,,Av. Corrientes 419,-58.3728,-34.603
166,ORSNA,,Av. Corrientes 441,-58.3731,-34.603
167,Personal,,Av. Corrientes 566,-58.3747,-34.6034
168,Iglesia,,Av. Corrientes 718,-58.3769,-34.6036
169,Dalisa,,Av. Corrientes 756,-58.3774,-34.6036
170,OCA,,Av. Corrientes 1111,-58.3824,-34.6036
171,Kiosko,,Av. Corrientes 1280,-58.3848,-34.604
172,Equus,,Av. Corrientes 1321,-58.3855,-34.6038
173,Orix,,Av. Corrientes 1255,-58.3845,-34.6037
174,Los Inmortales,,Av. Corrientes 1365,-58.386,-34.6038
175,Banco Ciudad,,Av. Corrientes 1418,-58.3868,-34.6042
176,Colegio Público de Abogados,,Av. Corrientes 1441,-58.3872,-34.6039
177,Pizzería,,Av. Corrientes 1504,-58.388,-34.6043
178,Teatro San Martín,,Av. Corrientes 1530,-58.3883,-34.6043
179,kiosko,,Av. Corrientes 1587,-58.3892,-34.604
180,Centro Cultural de Cooperación,,Av. Corrientes 1543,-58.3886,-34.604
181,Oficinas,,Av. Corrientes 1750,-58.3915,-34.6045
182,Restaurante Green Life,,Av. Corrientes 1915,-58.3941,-34.6043
183,Pizza Zapi,,Av. Corrientes 1948,-58.3945,-34.6046
184,Teatro bar La Casona,,Av. Corrientes 1975,-58.3949,-34.6043
185,Banco Patagonia,,Av. Corrientes 2171,-58.3978,-34.6044
186,Banco Francés,,Av. Corrientes 2249,-58.3988,-34.6045
187,Santander,,Av. Corrientes 2426,-58.4012,-34.6048
188,Banco HSBC,,Av. Corrientes 2458,-58.4016,-34.6049
189,Banco Ciudad,,Av. Corrientes 2458,-58.4016,-34.6049
190,Poder Judicial de la Nación,,Gorriti 5051,-58.4316,-34.5889
191,Just Sport,,Av. Corrientes 3234,-58.4108,-34.6042
192,Shopping Abasto,,Av. Corrientes 3247,-58.411,-34.6039
193,Shopping Abasto,,Av. Corrientes 3247,-58.411,-34.6039
194,Subte Carlos Gardel,,Av. Corrientes 3292,-58.4116,-34.6042
195,Banco Ciudad,,Av. Corrientes 3399,-58.4131,-34.604
196,Vía Pública,,Av. Corrientes 3547,-58.415,-34.6038
197,Correo Argentino,,Av. Corrientes 3700,-58.4167,-34.6038
198,La Continental,,Av. Corrientes 3701,-58.4168,-34.6034
199,ICBC,,Av. Corrientes 3800,-58.418,-34.6036
200,Movistar,,Av. Corrientes 3953,-58.4202,-34.6031
201,Bar La Orquidea,,Av. Corrientes 4113,-58.4228,-34.6028
202,Banco Credicop,,Av. Corrientes 4124,-58.423,-34.6031
203,Banco Galicia,,Av. Corrientes 4152,-58.4234,-34.6031
204,Banco Nación,,Av. Corrientes 4279,-58.4253,-34.6026
205,Escuela de Pastelería,,Av. Corrientes 4367,-58.4266,-34.6025
206,Centro Dos,,Av. Corrientes 4524,-58.429,-34.6025
207,Restaurant,,Av. Corrientes 4567,-58.4296,-34.6022
208,Subte Ángel Gallardo,,Av. Corrientes 4662,-58.4313,-34.6023
209,El trébol,,Av. Corrientes 4854,-58.4343,-34.6015
210,Banco Santander,,Av. Corrientes 5100,-58.4376,-34.6004
211,Banco Francés,,Av. Corrientes 5117,-58.4378,-34.6
212,El Imperio,,Av. Corrientes 5206,-58.439,-34.5999
213,Banco ICBC,,Av. Corrientes 5386,-58.4407,-34.5984
214,Banco Provincia,,Av. Corrientes 5391,-58.4404,-34.5981
215,Bonafide,,Av. Corrientes 5444,-58.4412,-34.5978
216,Tarjeta Naranja,,Av. Corrientes 5530,-58.4421,-34.5971
217,Banco Itaú,,Av. Corrientes 5563,-58.4421,-34.5966
218,Pizzería Nápoles,,Av. Corrientes 5580,-58.4425,-34.5967
219,Secretaría Nacional de Justicia- Reg. Nac. de la Prop. Automotor,,Av. Corrientes 5666,-58.4433,-34.5959
220,Bar Dolce Hora,,Av. Corrientes 6096,-58.4468,-34.5927
221,Profesorado Romero Brest,,Miguel Sánchez 1338,-58.4581,-34.5441
222,Ministerio Público Fiscal,,Av. Paseo Colón 1333,-58.3683,-34.6233
223,Ministerio Público Fiscal,,Av. Paseo Colón 1333,-58.3683,-34.6233
224,Ministerio de Defensa de la Ciudad,,Balcarce 677,-58.3708,-34.6156
225,VÍA PÚBLICA -MICROCENTRO,,Av. Presidente Julio Argentino Roca 600,-58.3746,-34.6103
226,La Trastienda,,Balcarce 460,-58.3705,-34.6131
227,Teatro Moliere,,Chile esquina Balcarce,-58.3706,-34.6159
228,USAL Arte y Arquitectura,,Almagro 106,-58.4148,-34.6093
229,USAL Cs. Jurídicas,,Av. Callao 660,-58.3929,-34.6013
230,CBO N°1,,La Rioja 660,-58.4079,-34.6179
231,Liceo N°3 / Esc Normal Sup. N°5,,Arcamendia 743,-58.3801,-34.6413
232,Colegio N° 11 Hipólito Yrigoyen,,Benito Quinquela Martín 1649,-58.3731,-34.6434
233,Esc. Técnica N° 04 Republica del Libano,,Av. Montes de Oca 121,-58.3773,-34.63
234,Cucina Paradiso,,Castañeda 1871,-58.4368,-34.5535
235,Esc. Técnica N° 26 Confederacion Suiza,,Av. Jujuy 255,-58.4056,-34.613
236,Timbre 4,,Av. Boedo 640,-58.4164,-34.6203
237,Esc. de Educacion Media N° 03/17° Antonio Devoto,,Mercedes 4002,-58.5126,-34.6007
238,CFP N° 24,,Artigas 690,-58.4672,-34.6227
239,El camarín de las musas,,Mario Bravo 950,-58.4162,-34.5986
240,Julieta Sedler,,Armenia 1886,-58.4256,-34.5881
241,Levi´s,,El Salvador 4714,-58.4275,-34.5894
242,La Mersa,,Nicaragua 4835,-58.4273,-34.5863
243,Key Biscayne,,Armenia 1735,-58.4267,-34.5892
244,Proyecto Cuadrilla,,Nicaragua 4519,-58.4243,-34.5886
245,Fábrica de Luz,,Serrano y Cabrera,-58.4322,-34.59
246,Infinit,,Thames y Honduras,-58.4312,-34.5881
247,Estudio V,,Thames 1800,-58.4293,-34.5866
248,Trippin,,Armenia 1838,-58.426,-34.5884
