id,nombre,lugar_asoc,direccion,lat,lon
346,Palermo,LINEA D,Av. Santa Fé 4600 y Av.  Juan B. Justo,-58.4263,-34.5781
347,Plaza Italia,LINEA D,Av. Santa Fé 4000 entre Borges y Gurruchaga,-58.4214,-34.5812
348,Scalabrini Ortíz,LINEA D,Av. Santa Fé 3900 entre Scalabrini Ortiz y Aráoz,-58.4158,-34.5851
349,Pueyrredón,LINEA D,Av. Santa Fé 2500 entre Ecuador y Av. Pueyrredón,-58.403,-34.5944
350,Facultad de Medicina,LINEA D,Av. Cordoba 2100 entre Pte. Jose E. Uriburu y Junín,-58.398,-34.5996
351,9 de julio,LINEA D,Av. Roque Saenz Peña 900,-58.3794,-34.605
352,Plaza de los Virreyes,LINEA E,Av. San Pedrito y Av. Eva Perón,-58.461,-34.6442
353,Varela,LINEA E,Varela 900,-58.4579,-34.6399
354,Medalla Milagrosa,LINEA E,Av. Eva Perón 2000,-58.4501,-34.6365
355,José M. Moreno,LINEA E,Av. Directorio  500 entre Craig y Av. J. M. Moreno,-58.4336,-34.6281
356,Av. La Plata,LINEA E,Av. San Juan 4300 entre Av. La Plata y Muñiz,-58.4265,-34.6271
357,Boedo,LINEA E,Av. San Juan 3500 entre Av. Boedo y Maza,-58.4161,-34.6253
358,General Urquiza,LINEA E,Av. San Juan 3100 entre 24 de Noviembre y Av. Gral. Urquiza,-58.4096,-34.6245
359,Jujuy,LINEA E,Av. San Juan 2700 entre Catamarca y Av. Jujuy,-58.4027,-34.6237
360,San José,LINEA E,Av. San Juan 1300 entre San José y Santiago del Estero,-58.3851,-34.6222
361,Belgrano,LINEA E,Av. Belgrano 700 entre Piedras y Chacabuco,-58.3777,-34.613
362,Bolívar,LINEA E,Av. Pte. Julio A. Roca 500,-58.3737,-34.6094
363,Museo de Arte Decorativo,,Av. Del Libertador 1902,-58.4003,-34.5826
364,Museo de Arquitectura,,Libertador 999,-58.3854,-34.5864
365,Plaza Italia,,Frente a Sistema público de bicicletas,-58.4211,-34.5809
366,Escuela Ferré Nº 5,,Ferré 1957,-58.4236,-34.6597
367,Tea Conection,,Federico Lacroze 2233,-58.4434,-34.5682
368,Hospital Tornú,,Combatientes de Malvinas 3002,-58.471,-34.5875
369,Auditoria Gral. de la Ciudad,,Corrientes 640,-58.3758,-34.6035
370,CGPC 8,,Av. Coronel Roca 5252,-58.4553,-34.6849
371,ANSES,,Av. Paseo Colón 329,-58.3698,-34.6115
372,Saint Exupery,,Bonifacio 1075,-58.4426,-34.6279
373,CGPC 1,,Uruguay 751,-58.3866,-34.5999
374,CGPC 11,,Av. Beiro 4629,-58.516,-34.6083
375,CGPC 10,,Bacacay 3968,-58.4835,-34.6319
376,CGPC 9,,Timoteo Gordillo 2212,-58.505,-34.6596
377,CGPC 13,,Av. Cabildo 3067,-58.4641,-34.5538
378,CGPC 6,,Diaz Velez 4558,-58.4312,-34.6089
379,CGPC 7,,Av. Rivadavia 7202,-58.4669,-34.6301
380,Hospital de Rehabilitación Manuel Roca,,Segurola 1949 y Alvarez Jonte,-58.5018,-34.6183
381,Inst. de Rehabilitación Psicofisico,,Echeverría 955,-58.441,-34.5539
382,Palais de Glace,,Posadas 1725,-58.3896,-34.5859
383,Dirección General de Obras,,Chacabuco 1261,-58.3757,-34.6228
384,Rivadavia y Virrey Cevallos,,Av. Rivadavia 1583,-58.3889,-34.6089
385,Hospital Fernández,,Ruggieri 2830,-58.4075,-34.5814
386,Hospital Ramos Mejia,,Gral. Urquiza 609,-58.4096,-34.6177
387,Hospital Garraham,,Pichincha 1890,-58.3958,-34.6314
388,Dir. Gral. de Estadísticas y Censos,,Perón 3253,-58.4123,-34.6076
389,Agencia Gubernamental de Control,,Peron 2933,-58.4082,-34.6077
390,Tribunales,LINEA D,Tucumán 1300 y Talcahuano,-58.384,-34.6021
391,Pichincha,LINEA E,Av. San Juan 2200 entre Pichincha y Pasco,-58.3972,-34.623
392,Hospital Alemán,,Av. Pueyrredon 1640,-58.4015,-34.5921
393,Pasco,LINEA A,Av. Rivadavia 2200 entre Pasco y Pichincha,-58.3978,-34.6095
394,José Hernández,LINEA D,Av. Cabildo 1600 entre Jose Hernandez y Virrey Del Pino,-58.452,-34.5664
395,Catedral,LINEA D,Av. Roque Saenz Peña 500,-58.3735,-34.6078
396,Emilio Mitre,LINEA E,Av. Eva Perón 1100 entre Emilio Mitre y Cachimayo,-58.442,-34.6315
397,Ministerio de Planificación,,Hipolito Irigoyen 250,-58.5061,-34.6366
398,Ministro Carranza,LINEA D,Av. Santa Fé 5200 entre Arevalo y Ravignani,-58.4342,-34.5757
399,Plaza Aduana,,Moreno y Paseo Colón,-58.369,-34.6112
400,Ideas del Sur,,Olleros 3539,-58.4496,-34.5818
401,De los Incas- Parque Chas,LINEA B,Av. Triunvirato y Av. de los Incas,-58.4735,-34.582
402,Tribunales,,Frente a Sistema público de bicicletas,-58.3851,-34.6013
403,Primera Junta,LINEA A,Av. Rivadavia y Rojas,-58.4414,-34.6207
404,Museo Larreta,,Av. Juramento 2291,-58.4557,-34.5613
