linea;desde;hasta;estacion;pasajeros
A;05:15;05:29;Congreso;4
D;05:15;05:29;Bulnes;6
E;05:15;05:29;Varela;3
B;05:15;05:29;Callao;5
D;05:15;05:29;Facultad de Medicina;2
D;05:15;05:29;Congreso de Tucuman;15
A;05:15;05:29;Primera Junta;9
C;05:15;05:29;Lavalle;2
A;05:15;05:29;Carabobo;7
C;05:15;05:29;Constitucion;83
D;05:15;05:29;Juramento;2
A;05:15;05:29;Plaza de Mayo;4
D;05:15;05:29;Aguero;4
B;05:15;05:29;Leandro N. Alem;18
A;05:15;05:29;San Pedrito;4
B;05:15;05:29;Angel Gallardo;4
A;05:15;05:29;Lima;1
B;05:15;05:29;Uruguay;1
B;05:15;05:29;Carlos Pellegrini;2
B;05:15;05:29;Tronador;1
H;05:15;05:29;Caseros;1
B;05:15;05:29;Malabia;5
H;05:15;05:29;Inclan;1
E;05:15;05:29;Boedo;3
E;05:15;05:29;Jose Maria Moreno;2
E;05:15;05:29;Jujuy;2
B;05:15;05:29;Pasteur;1
C;05:15;05:29;San Juan;2
D;05:15;05:29;Jose Hernandez;2
A;05:15;05:29;Flores;3
B;05:30;05:44;Echeverria;3
A;05:30;05:44;Lima;8
B;05:30;05:44;Los Incas;6
D;05:30;05:44;Plaza Italia;5
B;05:30;05:44;Malabia;5
B;05:30;05:44;Dorrego;7
D;05:30;05:44;Facultad de Medicina;2
E;05:30;05:44;San Jose;5
B;05:30;05:44;Federico Lacroze;51
E;05:30;05:44;Jose Maria Moreno;5
D;05:30;05:44;Juramento;4
A;05:30;05:44;San Pedrito;10
A;05:30;05:44;Castro Barros;2
D;05:30;05:44;9 de julio;1
E;05:30;05:44;Avenida La Plata;6
D;05:30;05:44;Aguero;4
A;05:30;05:44;Carabobo;3
C;05:30;05:44;Constitucion;139
E;05:30;05:44;Varela;5
C;05:30;05:44;Lavalle;3
H;05:30;05:44;Hospitales;6
A;05:30;05:44;Loria;4
A;05:30;05:44;Plaza de Mayo;2
E;05:30;05:44;Jujuy;7
H;05:30;05:44;Venezuela;4
B;05:30;05:44;Pasteur;3
D;05:30;05:44;Olleros;8
E;05:30;05:44;Boedo;1
B;05:30;05:44;Pueyrredon;2
E;05:30;05:44;Entre Rios;9
D;05:30;05:44;Bulnes;2
H;05:30;05:44;Corrientes;3
E;05:30;05:44;Pza. de los Virreyes;28
H;05:30;05:44;Once;1
A;05:30;05:44;Puan;2
