linea;desde;hasta;estacion;pasajeros
B;07:00;07:14;Federico Lacroze;281
C;07:00;07:14;Lavalle;16
A;07:15;07:29;Acoyte;45
A;07:15;07:29;Pasco;7
B;07:15;07:29;Florida;12
B;07:15;07:29;Malabia;86
C;07:15;07:29;Mariano Moreno;5
D;07:15;07:29;Bulnes;26
D;07:15;07:29;Juramento;42
B;07:15;07:29;Dorrego;34
C;07:15;07:29;General San Martin;18
E;07:15;07:29;Emilio Mitre;28
B;07:15;07:29;Tronador;21
B;07:15;07:29;Carlos Pellegrini;73
B;07:15;07:29;Callao;36
H;07:15;07:29;Caseros;24
D;07:15;07:29;Ministro Carranza;16
C;07:15;07:29;Retiro;331
A;07:15;07:29;Puan;24
A;07:15;07:29;Alberti;6
H;07:15;07:29;Corrientes;9
D;07:15;07:29;Catedral;51
E;07:15;07:29;Varela;17
E;07:15;07:29;Independencia.;20
B;07:15;07:29;Carlos Gardel;30
H;07:15;07:29;Once;27
D;07:15;07:29;Scalabrini Ortiz;26
E;07:15;07:29;Bolivar;17
A;07:15;07:29;Lima;12
A;07:15;07:29;Castro Barros;17
E;07:15;07:29;Pza. de los Virreyes;135
B;07:15;07:29;Los Incas;59
E;07:15;07:29;Entre Rios;23
A;07:15;07:29;San Pedrito;229
D;07:15;07:29;Palermo;54
H;07:15;07:29;Inclan;19
E;07:15;07:29;San Jose;13
C;07:15;07:29;Diagonal Norte;7
B;07:15;07:29;Echeverria;40
B;07:15;07:29;Federico Lacroze;338
B;07:15;07:29;Pueyrredon;44
A;07:15;07:29;Rio de Janeiro;30
D;07:15;07:29;9 de julio;31
D;07:15;07:29;Jose Hernandez;37
D;07:15;07:29;Pueyrredon.;27
B;07:15;07:29;Rosas;209
H;07:15;07:29;Humberto I;13
A;07:15;07:29;Piedras;8
A;07:15;07:29;Peru;2
E;07:15;07:29;Jose Maria Moreno;27
D;07:15;07:29;Congreso de Tucuman;182
A;07:15;07:29;Primera Junta;65
H;07:15;07:29;Hospitales;47
H;07:15;07:29;Venezuela;26
C;07:15;07:29;Independencia;29
A;07:15;07:29;Loria;17
D;07:15;07:29;Tribunales;11
D;07:15;07:29;Callao.;20
C;07:15;07:29;Avenida de Mayo;12
C;07:15;07:29;San Juan;23
D;07:15;07:29;Olleros;35
C;07:15;07:29;Lavalle;12
E;07:15;07:29;General Belgrano;2
A;07:15;07:29;Flores;38
B;07:15;07:29;Pasteur;31
E;07:15;07:29;Pichincha;15
D;07:15;07:29;Plaza Italia;20
A;07:15;07:29;Plaza Miserere;90
E;07:15;07:29;Urquiza;13
B;07:15;07:29;Angel Gallardo;55
E;07:15;07:29;Medalla Milagrosa;20
B;07:15;07:29;Uruguay;30
E;07:15;07:29;Avenida La Plata;27
D;07:15;07:29;Aguero;33
A;07:15;07:29;Congreso;23
A;07:15;07:29;Carabobo;57
A;07:15;07:29;Plaza de Mayo;41
B;07:15;07:29;Medrano;50
E;07:15;07:29;Jujuy;9
A;07:15;07:29;Saenz Peña;13
E;07:15;07:29;Boedo;18
C;07:15;07:29;Constitucion;1787
D;07:15;07:29;Facultad de Medicina;23
B;07:15;07:29;Leandro N. Alem;170
H;07:15;07:29;Patricios;38
A;07:30;07:44;Lima;17
B;07:30;07:44;Pueyrredon;70
A;07:30;07:44;Primera Junta;72
A;07:30;07:44;Congreso;27
D;07:30;07:44;9 de julio;37
B;07:30;07:44;Echeverria;43
B;07:30;07:44;Los Incas;89
H;07:30;07:44;Corrientes;7
A;07:30;07:44;Acoyte;65
B;07:30;07:44;Malabia;94
A;07:30;07:44;Puan;36
D;07:30;07:44;Aguero;36
D;07:30;07:44;Tribunales;14
B;07:30;07:44;Carlos Pellegrini;87
E;07:30;07:44;Jose Maria Moreno;21
C;07:30;07:44;Mariano Moreno;11
B;07:30;07:44;Dorrego;53
D;07:30;07:44;Congreso de Tucuman;206
B;07:30;07:44;Medrano;67
A;07:30;07:44;Loria;27
B;07:30;07:44;Leandro N. Alem;171
E;07:30;07:44;Urquiza;21
B;07:30;07:44;Carlos Gardel;30
D;07:30;07:44;Palermo;45
C;07:30;07:44;Constitucion;1401
A;07:30;07:44;Piedras;9
H;07:30;07:44;Humberto I;20
E;07:30;07:44;Medalla Milagrosa;16
A;07:30;07:44;Carabobo;75
A;07:30;07:44;Saenz Peña;15
E;07:30;07:44;Jujuy;12
E;07:30;07:44;General Belgrano;7
D;07:30;07:44;Jose Hernandez;52
E;07:30;07:44;Entre Rios;33
B;07:30;07:44;Uruguay;26
B;07:30;07:44;Rosas;212
C;07:30;07:44;Independencia;35
D;07:30;07:44;Facultad de Medicina;29
H;07:30;07:44;Caseros;29
B;07:30;07:44;Angel Gallardo;60
A;07:30;07:44;Rio de Janeiro;33
C;07:30;07:44;General San Martin;17
D;07:30;07:44;Juramento;53
C;07:30;07:44;San Juan;23
E;07:30;07:44;Bolivar;14
H;07:30;07:44;Hospitales;46
A;07:30;07:44;Plaza de Mayo;22
A;07:30;07:44;Flores;48
D;07:30;07:44;Callao.;28
E;07:30;07:44;San Jose;7
E;07:30;07:44;Independencia.;22
B;07:30;07:44;Federico Lacroze;304
C;07:30;07:44;Retiro;317
D;07:30;07:44;Scalabrini Ortiz;52
A;07:30;07:44;Peru;7
B;07:30;07:44;Pasteur;26
D;07:30;07:44;Ministro Carranza;31
D;07:30;07:44;Olleros;22
A;07:30;07:44;Pasco;7
B;07:30;07:44;Florida;18
A;07:30;07:44;Castro Barros;29
H;07:30;07:44;Venezuela;20
B;07:30;07:44;Callao;44
H;07:30;07:44;Patricios;58
C;07:30;07:44;Lavalle;9
E;07:30;07:44;Pichincha;18
C;07:30;07:44;Diagonal Norte;3
A;07:30;07:44;Plaza Miserere;86
E;07:30;07:44;Emilio Mitre;23
A;07:30;07:44;Alberti;9
H;07:30;07:44;Once;32
E;07:30;07:44;Boedo;27
D;07:30;07:44;Plaza Italia;23
D;07:30;07:44;Bulnes;39
E;07:30;07:44;Avenida La Plata;27
E;07:30;07:44;Pza. de los Virreyes;144
A;07:30;07:44;San Pedrito;199
E;07:30;07:44;Varela;21
H;07:30;07:44;Inclan;25
C;07:30;07:44;Avenida de Mayo;26
B;07:30;07:44;Tronador;21
D;07:30;07:44;Catedral;56
D;07:30;07:44;Pueyrredon.;31
E;07:45;07:59;Avenida La Plata;38
D;07:45;07:59;Scalabrini Ortiz;36
A;07:45;07:59;Alberti;16
A;07:45;07:59;Plaza de Mayo;46
B;07:45;07:59;Carlos Gardel;43
E;07:45;07:59;Jujuy;21
B;07:45;07:59;Angel Gallardo;82
D;07:45;07:59;9 de julio;45
D;07:45;07:59;Juramento;70
D;07:45;07:59;Catedral;54
A;07:45;07:59;Flores;45
B;07:45;07:59;Leandro N. Alem;158
B;07:45;07:59;Echeverria;50
H;07:45;07:59;Hospitales;59
C;07:45;07:59;San Juan;32
D;07:45;07:59;Olleros;36
H;07:45;07:59;Once;33
B;07:45;07:59;Federico Lacroze;364
D;07:45;07:59;Tribunales;23
D;07:45;07:59;Jose Hernandez;41
A;07:45;07:59;Pasco;11
A;07:45;07:59;Peru;8
A;07:45;07:59;Saenz Peña;10
A;07:45;07:59;Lima;26
H;07:45;07:59;Venezuela;19
B;07:45;07:59;Malabia;117
H;07:45;07:59;Patricios;32
E;07:45;07:59;Entre Rios;34
D;07:45;07:59;Plaza Italia;32
E;07:45;07:59;General Belgrano;4
B;07:45;07:59;Dorrego;65
C;07:45;07:59;Retiro;277
C;07:45;07:59;Constitucion;1224
B;07:45;07:59;Los Incas;110
E;07:45;07:59;San Jose;12
A;07:45;07:59;Rio de Janeiro;36
A;07:45;07:59;San Pedrito;253
A;07:45;07:59;Piedras;3
A;07:45;07:59;Loria;29
C;07:45;07:59;Avenida de Mayo;15
B;07:45;07:59;Carlos Pellegrini;74
B;07:45;07:59;Rosas;260
A;07:45;07:59;Congreso;29
B;07:45;07:59;Tronador;31
D;07:45;07:59;Aguero;39
E;07:45;07:59;Independencia.;25
D;07:45;07:59;Pueyrredon.;48
E;07:45;07:59;Jose Maria Moreno;16
B;07:45;07:59;Florida;12
E;07:45;07:59;Medalla Milagrosa;10
A;07:45;07:59;Acoyte;46
E;07:45;07:59;Urquiza;17
H;07:45;07:59;Inclan;16
A;07:45;07:59;Plaza Miserere;125
D;07:45;07:59;Ministro Carranza;42
H;07:45;07:59;Humberto I;32
A;07:45;07:59;Carabobo;55
D;07:45;07:59;Palermo;57
E;07:45;07:59;Pichincha;17
E;07:45;07:59;Varela;24
D;07:45;07:59;Facultad de Medicina;32
C;07:45;07:59;Lavalle;11
E;07:45;07:59;Boedo;27
H;07:45;07:59;Caseros;23
B;07:45;07:59;Pasteur;32
B;07:45;07:59;Callao;59
A;07:45;07:59;Puan;23
C;07:45;07:59;General San Martin;9
C;07:45;07:59;Diagonal Norte;11
H;07:45;07:59;Corrientes;12
C;07:45;07:59;Mariano Moreno;11
E;07:45;07:59;Emilio Mitre;28
E;07:45;07:59;Pza. de los Virreyes;131
C;07:45;07:59;Independencia;40
B;07:45;07:59;Uruguay;40
B;07:45;07:59;Pueyrredon;60
A;07:45;07:59;Castro Barros;26
E;07:45;07:59;Bolivar;10
D;07:45;07:59;Congreso de Tucuman;218
A;07:45;07:59;Primera Junta;70
B;07:45;07:59;Medrano;84
D;07:45;07:59;Bulnes;36
D;07:45;07:59;Callao.;33
B;08:00;08:14;Los Incas;122
D;08:00;08:14;Catedral;74
H;08:00;08:14;Humberto I;24
C;08:00;08:14;Constitucion;1073
A;08:00;08:14;San Pedrito;359
D;08:00;08:14;Tribunales;16
A;08:00;08:14;Castro Barros;30
C;08:00;08:14;Mariano Moreno;17
E;08:00;08:14;General Belgrano;6
B;08:00;08:14;Pueyrredon;63
A;08:00;08:14;Lima;29
D;08:00;08:14;Juramento;84
E;08:00;08:14;Urquiza;25
B;08:00;08:14;Callao;66
D;08:00;08:14;Facultad de Medicina;29
A;08:00;08:14;Congreso;25
C;08:00;08:14;Lavalle;19
E;08:00;08:14;Avenida La Plata;40
H;08:00;08:14;Patricios;48
E;08:00;08:14;Pichincha;24
D;08:00;08:14;Ministro Carranza;48
B;08:00;08:14;Leandro N. Alem;172
H;08:00;08:14;Corrientes;10
D;08:00;08:14;Callao.;28
A;08:00;08:14;Peru;8
E;08:00;08:14;Entre Rios;30
E;08:00;08:14;Medalla Milagrosa;20
A;08:00;08:14;Plaza Miserere;86
B;08:00;08:14;Dorrego;68
B;08:00;08:14;Medrano;88
E;08:00;08:14;Jujuy;13
B;08:00;08:14;Tronador;39
A;08:00;08:14;Primera Junta;106
H;08:00;08:14;Inclan;24
B;08:00;08:14;Malabia;128
D;08:00;08:14;Jose Hernandez;65
B;08:00;08:14;Echeverria;61
C;08:00;08:14;San Juan;30
A;08:00;08:14;Pasco;8
A;08:00;08:14;Alberti;10
A;08:00;08:14;Puan;36
A;08:00;08:14;Flores;86
D;08:00;08:14;Pueyrredon.;38
H;08:00;08:14;Caseros;33
D;08:00;08:14;Aguero;62
C;08:00;08:14;Retiro;236
E;08:00;08:14;Boedo;29
A;08:00;08:14;Acoyte;73
E;08:00;08:14;Varela;39
B;08:00;08:14;Carlos Pellegrini;82
E;08:00;08:14;Bolivar;11
D;08:00;08:14;Plaza Italia;35
B;08:00;08:14;Angel Gallardo;104
D;08:00;08:14;Scalabrini Ortiz;57
H;08:00;08:14;Once;33
H;08:00;08:14;Hospitales;82
C;08:00;08:14;Independencia;33
B;08:00;08:14;Uruguay;22
D;08:00;08:14;Congreso de Tucuman;343
B;08:00;08:14;Carlos Gardel;55
C;08:00;08:14;Avenida de Mayo;28
E;08:00;08:14;Independencia.;24
A;08:00;08:14;Saenz Peña;13
B;08:00;08:14;Florida;15
D;08:00;08:14;9 de julio;32
A;08:00;08:14;Rio de Janeiro;37
H;08:00;08:14;Venezuela;19
E;08:00;08:14;Pza. de los Virreyes;192
E;08:00;08:14;Emilio Mitre;42
E;08:00;08:14;Jose Maria Moreno;32
D;08:00;08:14;Olleros;50
C;08:00;08:14;General San Martin;14
D;08:00;08:14;Bulnes;48
B;08:00;08:14;Rosas;261
A;08:00;08:14;Plaza de Mayo;36
A;08:00;08:14;Piedras;6
A;08:00;08:14;Carabobo;94
E;08:00;08:14;San Jose;13
A;08:00;08:14;Loria;24
C;08:00;08:14;Diagonal Norte;3
D;08:00;08:14;Palermo;61
B;08:00;08:14;Federico Lacroze;493
B;08:00;08:14;Pasteur;51
D;08:15;08:29;Palermo;76
D;08:15;08:29;Ministro Carranza;58
E;08:15;08:29;General Belgrano;6
E;08:15;08:29;Boedo;36
C;08:15;08:29;Retiro;296
H;08:15;08:29;Venezuela;40
E;08:15;08:29;Pichincha;21
E;08:15;08:29;Bolivar;18
D;08:15;08:29;Scalabrini Ortiz;70
A;08:15;08:29;Acoyte;98
C;08:15;08:29;Avenida de Mayo;21
E;08:15;08:29;Emilio Mitre;59
B;08:15;08:29;Florida;20
H;08:15;08:29;Patricios;68
B;08:15;08:29;Rosas;364
H;08:15;08:29;Once;25
B;08:15;08:29;Tronador;35
D;08:15;08:29;Pueyrredon.;50
C;08:15;08:29;Mariano Moreno;16
A;08:15;08:29;Primera Junta;111
D;08:15;08:29;Congreso de Tucuman;321
A;08:15;08:29;Saenz Peña;23
D;08:15;08:29;Juramento;123
D;08:15;08:29;Facultad de Medicina;61
A;08:15;08:29;Pasco;10
D;08:15;08:29;Bulnes;73
H;08:15;08:29;Caseros;49
A;08:15;08:29;Congreso;32
C;08:15;08:29;Constitucion;1718
H;08:15;08:29;Inclan;28
E;08:15;08:29;Jujuy;17
B;08:15;08:29;Carlos Pellegrini;96
B;08:15;08:29;Pueyrredon;67
E;08:15;08:29;Entre Rios;45
H;08:15;08:29;Humberto I;11
A;08:15;08:29;Piedras;10
C;08:15;08:29;Lavalle;11
E;08:15;08:29;Pza. de los Virreyes;230
E;08:15;08:29;Avenida La Plata;38
A;08:15;08:29;Loria;35
A;08:15;08:29;Plaza Miserere;140
D;08:15;08:29;Catedral;61
B;08:15;08:29;Callao;56
H;08:15;08:29;Hospitales;70
B;08:15;08:29;Echeverria;96
A;08:15;08:29;Plaza de Mayo;51
H;08:15;08:29;Corrientes;13
E;08:15;08:29;Varela;35
B;08:15;08:29;Los Incas;166
D;08:15;08:29;Tribunales;19
C;08:15;08:29;San Juan;30
B;08:15;08:29;Dorrego;80
E;08:15;08:29;Urquiza;31
E;08:15;08:29;Medalla Milagrosa;21
D;08:15;08:29;Aguero;62
A;08:15;08:29;Flores;100
C;08:15;08:29;General San Martin;24
B;08:15;08:29;Angel Gallardo;122
B;08:15;08:29;Pasteur;41
D;08:15;08:29;Callao.;58
B;08:15;08:29;Medrano;94
B;08:15;08:29;Leandro N. Alem;185
A;08:15;08:29;San Pedrito;397
B;08:15;08:29;Malabia;173
E;08:15;08:29;Independencia.;27
A;08:15;08:29;Lima;14
A;08:15;08:29;Puan;63
A;08:15;08:29;Alberti;10
E;08:15;08:29;San Jose;16
A;08:15;08:29;Rio de Janeiro;61
D;08:15;08:29;Plaza Italia;58
A;08:15;08:29;Carabobo;91
C;08:15;08:29;Diagonal Norte;8
A;08:15;08:29;Peru;7
B;08:15;08:29;Federico Lacroze;512
A;08:15;08:29;Castro Barros;40
B;08:15;08:29;Carlos Gardel;45
B;08:15;08:29;Uruguay;24
D;08:15;08:29;9 de julio;37
C;08:15;08:29;Independencia;36
E;08:15;08:29;Jose Maria Moreno;34
D;08:15;08:29;Jose Hernandez;81
D;08:15;08:29;Olleros;75
B;08:30;08:44;Angel Gallardo;156
A;08:30;08:44;Plaza de Mayo;48
D;08:30;08:44;9 de julio;30
E;08:30;08:44;Medalla Milagrosa;24
D;08:30;08:44;Tribunales;14
B;08:30;08:44;Callao;70
D;08:30;08:44;Palermo;87
B;08:30;08:44;Pasteur;71
A;08:30;08:44;San Pedrito;299
B;08:30;08:44;Federico Lacroze;598
C;08:30;08:44;Constitucion;1781
B;08:30;08:44;Medrano;126
H;08:30;08:44;Humberto I;27
E;08:30;08:44;Bolivar;16
D;08:30;08:44;Olleros;90
D;08:30;08:44;Juramento;130
E;08:30;08:44;Urquiza;36
D;08:30;08:44;Callao.;71
B;08:30;08:44;Pueyrredon;110
A;08:30;08:44;Carabobo;96
D;08:30;08:44;Plaza Italia;62
E;08:30;08:44;General Belgrano;6
H;08:30;08:44;Corrientes;19
D;08:30;08:44;Scalabrini Ortiz;103
A;08:30;08:44;Acoyte;93
C;08:30;08:44;Retiro;511
B;08:30;08:44;Carlos Gardel;75
A;08:30;08:44;Primera Junta;113
C;08:30;08:44;Independencia;39
A;08:30;08:44;Pasco;14
E;08:30;08:44;San Jose;24
A;08:30;08:44;Castro Barros;70
D;08:30;08:44;Ministro Carranza;74
H;08:30;08:44;Hospitales;75
B;08:30;08:44;Dorrego;84
E;08:30;08:44;Independencia.;29
E;08:30;08:44;Jujuy;20
E;08:30;08:44;Pza. de los Virreyes;131
A;08:30;08:44;Puan;48
A;08:30;08:44;Saenz Peña;27
A;08:30;08:44;Lima;15
B;08:30;08:44;Los Incas;129
C;08:30;08:44;Diagonal Norte;18
A;08:30;08:44;Rio de Janeiro;70
E;08:30;08:44;Avenida La Plata;36
D;08:30;08:44;Congreso de Tucuman;344
B;08:30;08:44;Rosas;304
H;08:30;08:44;Venezuela;36
C;08:30;08:44;Avenida de Mayo;14
D;08:30;08:44;Jose Hernandez;83
A;08:30;08:44;Alberti;28
H;08:30;08:44;Patricios;60
A;08:30;08:44;Piedras;8
A;08:30;08:44;Loria;38
E;08:30;08:44;Varela;27
D;08:30;08:44;Pueyrredon.;83
C;08:30;08:44;General San Martin;11
H;08:30;08:44;Inclan;36
E;08:30;08:44;Pichincha;26
B;08:30;08:44;Tronador;49
D;08:30;08:44;Catedral;94
B;08:30;08:44;Malabia;196
E;08:30;08:44;Jose Maria Moreno;53
H;08:30;08:44;Caseros;42
C;08:30;08:44;Lavalle;10
A;08:30;08:44;Peru;11
D;08:30;08:44;Aguero;86
B;08:30;08:44;Echeverria;77
A;08:30;08:44;Congreso;35
B;08:30;08:44;Carlos Pellegrini;92
D;08:30;08:44;Bulnes;91
E;08:30;08:44;Boedo;44
E;08:30;08:44;Entre Rios;20
A;08:30;08:44;Flores;96
D;08:30;08:44;Facultad de Medicina;44
C;08:30;08:44;San Juan;45
B;08:30;08:44;Uruguay;41
B;08:30;08:44;Leandro N. Alem;175
E;08:30;08:44;Emilio Mitre;47
A;08:30;08:44;Plaza Miserere;108
C;08:30;08:44;Mariano Moreno;12
B;08:30;08:44;Florida;26
H;08:30;08:44;Once;27
B;08:45;08:59;Medrano;119
D;08:45;08:59;9 de julio;30
A;08:45;08:59;Rio de Janeiro;67
E;08:45;08:59;Boedo;48
H;08:45;08:59;Caseros;36
H;08:45;08:59;Hospitales;43
C;08:45;08:59;Diagonal Norte;12
C;08:45;08:59;San Juan;39
C;08:45;08:59;Retiro;355
D;08:45;08:59;Tribunales;19
D;08:45;08:59;Jose Hernandez;58
E;08:45;08:59;Independencia.;23
A;08:45;08:59;Loria;44
A;08:45;08:59;Plaza de Mayo;47
C;08:45;08:59;Lavalle;13
B;08:45;08:59;Callao;77
H;08:45;08:59;Corrientes;16
A;08:45;08:59;Alberti;18
E;08:45;08:59;Jose Maria Moreno;31
D;08:45;08:59;Aguero;79
E;08:45;08:59;San Jose;20
E;08:45;08:59;Medalla Milagrosa;25
C;08:45;08:59;Avenida de Mayo;27
C;08:45;08:59;Independencia;37
C;08:45;08:59;General San Martin;25
D;08:45;08:59;Ministro Carranza;70
E;08:45;08:59;Jujuy;25
B;08:45;08:59;Carlos Gardel;60
B;08:45;08:59;Florida;23
A;08:45;08:59;Piedras;13
E;08:45;08:59;Urquiza;21
A;08:45;08:59;Acoyte;96
B;08:45;08:59;Dorrego;70
D;08:45;08:59;Pueyrredon.;66
A;08:45;08:59;Carabobo;90
D;08:45;08:59;Palermo;67
B;08:45;08:59;Echeverria;55
B;08:45;08:59;Rosas;236
B;08:45;08:59;Uruguay;35
H;08:45;08:59;Humberto I;10
A;08:45;08:59;Primera Junta;72
D;08:45;08:59;Catedral;69
E;08:45;08:59;General Belgrano;7
E;08:45;08:59;Entre Rios;37
B;08:45;08:59;Los Incas;90
E;08:45;08:59;Bolivar;17
A;08:45;08:59;San Pedrito;185
A;08:45;08:59;Flores;69
D;08:45;08:59;Facultad de Medicina;49
E;08:45;08:59;Emilio Mitre;37
B;08:45;08:59;Angel Gallardo;110
B;08:45;08:59;Federico Lacroze;403
D;08:45;08:59;Juramento;100
B;08:45;08:59;Carlos Pellegrini;69
A;08:45;08:59;Plaza Miserere;110
B;08:45;08:59;Pasteur;62
A;08:45;08:59;Saenz Peña;23
D;08:45;08:59;Callao.;47
A;08:45;08:59;Lima;24
A;08:45;08:59;Castro Barros;68
D;08:45;08:59;Congreso de Tucuman;287
D;08:45;08:59;Scalabrini Ortiz;89
D;08:45;08:59;Olleros;60
B;08:45;08:59;Tronador;47
B;08:45;08:59;Leandro N. Alem;129
A;08:45;08:59;Puan;40
E;08:45;08:59;Varela;18
A;08:45;08:59;Pasco;15
A;08:45;08:59;Congreso;43
E;08:45;08:59;Avenida La Plata;37
A;08:45;08:59;Peru;11
D;08:45;08:59;Plaza Italia;34
D;08:45;08:59;Bulnes;88
E;08:45;08:59;Pichincha;19
H;08:45;08:59;Patricios;46
E;08:45;08:59;Pza. de los Virreyes;91
H;08:45;08:59;Once;35
B;08:45;08:59;Malabia;170
C;08:45;08:59;Mariano Moreno;14
H;08:45;08:59;Inclan;28
H;08:45;08:59;Venezuela;35
B;08:45;08:59;Pueyrredon;93
C;08:45;08:59;Constitucion;1160
A;09:00;09:14;Congreso;56
H;09:00;09:14;Corrientes;10
H;09:00;09:14;Caseros;17
D;09:00;09:14;Facultad de Medicina;46
C;09:00;09:14;Independencia;29
D;09:00;09:14;Scalabrini Ortiz;84
B;09:00;09:14;Tronador;43
B;09:00;09:14;Carlos Pellegrini;90
D;09:00;09:14;Bulnes;91
A;09:00;09:14;Acoyte;89
D;09:00;09:14;Juramento;107
E;09:00;09:14;Varela;23
C;09:00;09:14;Avenida de Mayo;19
E;09:00;09:14;Jose Maria Moreno;33
D;09:00;09:14;9 de julio;63
D;09:00;09:14;Palermo;75
E;09:00;09:14;General Belgrano;8
A;09:00;09:14;San Pedrito;205
A;09:00;09:14;Puan;56
A;09:00;09:14;Rio de Janeiro;67
E;09:00;09:14;San Jose;16
A;09:00;09:14;Saenz Peña;19
D;09:00;09:14;Plaza Italia;73
A;09:00;09:14;Peru;13
D;09:00;09:14;Catedral;81
C;09:00;09:14;Retiro;268
E;09:00;09:14;Avenida La Plata;41
B;09:00;09:14;Uruguay;40
C;09:00;09:14;General San Martin;20
H;09:00;09:14;Hospitales;54
B;09:00;09:14;Carlos Gardel;52
D;09:00;09:14;Ministro Carranza;48
H;09:00;09:14;Once;25
A;09:00;09:14;Lima;36
D;09:00;09:14;Aguero;69
H;09:00;09:14;Patricios;43
B;09:00;09:14;Medrano;100
H;09:00;09:14;Inclan;21
C;09:00;09:14;Mariano Moreno;22
E;09:00;09:14;Medalla Milagrosa;16
E;09:00;09:14;Urquiza;25
D;09:00;09:14;Pueyrredon.;58
B;09:00;09:14;Dorrego;78
D;09:00;09:14;Olleros;67
B;09:00;09:14;Rosas;234
A;09:00;09:14;Alberti;25
C;09:00;09:14;San Juan;40
A;09:00;09:14;Primera Junta;97
B;09:00;09:14;Leandro N. Alem;135
E;09:00;09:14;Pza. de los Virreyes;64
E;09:00;09:14;Boedo;44
E;09:00;09:14;Independencia.;24
C;09:00;09:14;Lavalle;11
B;09:00;09:14;Echeverria;75
E;09:00;09:14;Pichincha;15
A;09:00;09:14;Flores;51
A;09:00;09:14;Carabobo;75
B;09:00;09:14;Callao;54
H;09:00;09:14;Humberto I;23
A;09:00;09:14;Piedras;8
B;09:00;09:14;Angel Gallardo;113
E;09:00;09:14;Entre Rios;41
D;09:00;09:14;Congreso de Tucuman;269
A;09:00;09:14;Plaza Miserere;96
D;09:00;09:14;Tribunales;29
D;09:00;09:14;Callao.;38
B;09:00;09:14;Malabia;140
C;09:00;09:14;Diagonal Norte;8
B;09:00;09:14;Pueyrredon;90
A;09:00;09:14;Castro Barros;40
A;09:00;09:14;Loria;24
E;09:00;09:14;Emilio Mitre;24
C;09:00;09:14;Constitucion;900
B;09:00;09:14;Florida;25
A;09:00;09:14;Plaza de Mayo;33
A;09:00;09:14;Pasco;21
D;09:00;09:14;Jose Hernandez;69
E;09:00;09:14;Jujuy;9
B;09:00;09:14;Pasteur;30
B;09:00;09:14;Federico Lacroze;465
H;09:00;09:14;Venezuela;20
E;09:00;09:14;Bolivar;16
B;09:00;09:14;Los Incas;97
A;09:15;09:29;Lima;11
C;09:15;09:29;Diagonal Norte;17
C;09:15;09:29;General San Martin;16
A;09:15;09:29;Carabobo;62
E;09:15;09:29;Independencia.;24
H;09:15;09:29;Patricios;48
H;09:15;09:29;Once;28
B;09:15;09:29;Dorrego;69
B;09:15;09:29;Callao;73
D;09:15;09:29;Congreso de Tucuman;277
A;09:15;09:29;Primera Junta;106
H;09:15;09:29;Venezuela;32
A;09:15;09:29;Peru;19
A;09:15;09:29;Alberti;21
A;09:15;09:29;Piedras;16
A;09:15;09:29;Plaza de Mayo;41
C;09:15;09:29;Avenida de Mayo;16
B;09:15;09:29;Carlos Gardel;40
H;09:15;09:29;Caseros;24
C;09:15;09:29;Retiro;358
E;09:15;09:29;Jujuy;17
C;09:15;09:29;Lavalle;27
D;09:15;09:29;Callao.;66
H;09:15;09:29;Hospitales;28
B;09:15;09:29;Leandro N. Alem;121
H;09:15;09:29;Corrientes;14
D;09:15;09:29;Olleros;74
D;09:15;09:29;Ministro Carranza;82
B;09:15;09:29;Carlos Pellegrini;91
C;09:15;09:29;Constitucion;1405
B;09:15;09:29;Medrano;107
D;09:15;09:29;9 de julio;21
B;09:15;09:29;Pueyrredon;71
A;09:15;09:29;San Pedrito;190
E;09:15;09:29;San Jose;11
E;09:15;09:29;Medalla Milagrosa;19
D;09:15;09:29;Catedral;61
C;09:15;09:29;Independencia;45
E;09:15;09:29;Varela;21
D;09:15;09:29;Aguero;55
A;09:15;09:29;Plaza Miserere;133
E;09:15;09:29;Urquiza;19
E;09:15;09:29;Emilio Mitre;26
A;09:15;09:29;Flores;72
A;09:15;09:29;Congreso;43
B;09:15;09:29;Pasteur;53
E;09:15;09:29;Boedo;31
D;09:15;09:29;Jose Hernandez;76
D;09:15;09:29;Scalabrini Ortiz;72
D;09:15;09:29;Plaza Italia;54
A;09:15;09:29;Saenz Peña;21
D;09:15;09:29;Tribunales;31
A;09:15;09:29;Loria;32
E;09:15;09:29;Avenida La Plata;46
D;09:15;09:29;Juramento;103
B;09:15;09:29;Federico Lacroze;341
H;09:15;09:29;Humberto I;24
B;09:15;09:29;Echeverria;62
A;09:15;09:29;Puan;54
B;09:15;09:29;Uruguay;63
C;09:15;09:29;San Juan;38
C;09:15;09:29;Mariano Moreno;18
A;09:15;09:29;Rio de Janeiro;57
B;09:15;09:29;Tronador;27
B;09:15;09:29;Los Incas;102
E;09:15;09:29;Pza. de los Virreyes;101
D;09:15;09:29;Pueyrredon.;66
D;09:15;09:29;Facultad de Medicina;60
E;09:15;09:29;Entre Rios;36
B;09:15;09:29;Florida;33
B;09:15;09:29;Malabia;138
E;09:15;09:29;General Belgrano;7
A;09:15;09:29;Pasco;30
B;09:15;09:29;Rosas;162
E;09:15;09:29;Jose Maria Moreno;40
D;09:15;09:29;Palermo;88
D;09:15;09:29;Bulnes;91
E;09:15;09:29;Bolivar;14
H;09:15;09:29;Inclan;22
A;09:15;09:29;Acoyte;59
E;09:15;09:29;Pichincha;20
B;09:15;09:29;Angel Gallardo;104
